


2022-08-18 17:02:54 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:56 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:56 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:02:59 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:02:59 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:01 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:01 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:03 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:03 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:05 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:05 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:08 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:08 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:10 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:10 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:12 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:12 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:14 [KIOSK] Disconnected 
2022-08-18 17:03:14 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:14 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:16 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:17 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:19 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:19 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:21 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:21 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:23 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:23 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:25 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:25 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:28 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:28 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:30 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:30 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:32 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:32 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:34 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:34 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:37 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:37 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:39 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:39 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:41 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:41 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:43 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:43 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:46 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:46 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:48 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:48 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:50 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:50 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:52 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:52 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:54 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:55 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:57 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:57 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:03:59 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:03:59 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:01 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:01 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:03 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:03 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:06 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:06 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:08 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:08 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:10 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:10 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:12 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:12 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:15 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:15 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:17 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:17 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:19 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:19 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:21 [ICE] SERIAL ttyS6 OPEN FAIL
2022-08-18 17:04:21 [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-08-18 17:04:23 [ICE] SERIAL ttyS6 OPEN FAIL
